Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),search
BTC,3/16/21,56639.78395,55668.62353,56821.88244,53350.36773,51
BTC,3/17/21,58567.28378,56908.56502,58923.54893,54201.70163,51
BTC,3/18/21,57983.09474,58883.01836,60074.36985,57075.06857,51
BTC,3/19/21,58451.73147,57661.41518,59461.77526,56327.79283,51
BTC,3/20/21,58593.60245,58127.68804,59919.21177,57914.89451,51
BTC,3/21/21,57796.46737,58139.30027,58649.13419,55645.05427,46
BTC,3/22/21,54329.35863,57389.21162,58407.61921,53795.15409,46
BTC,3/23/21,54794.29771,54143.10604,55858.36925,53031.32679,46
BTC,3/24/21,52787.74553,54375.80763,57225.29881,51777.97109,46
BTC,3/25/21,52173.86798,52335.56503,53209.40638,50458.09997,46
BTC,3/26/21,54483.04573,51344.04898,54806.88151,51286.29118,46
BTC,3/27/21,56234.35611,55067.8244,56520.30729,54022.07694,46
BTC,3/28/21,55343.92582,55843.74892,56541.00653,54741.62637,44
BTC,3/29/21,57627.67925,55786.54607,58353.52939,54929.68059,44
BTC,3/30/21,58734.47543,57613.16126,59379.99216,57069.22927,44
BTC,3/31/21,58724.66452,58810.15589,59835.39233,56934.31212,44
BTC,4/1/21,58984.61293,58764.43309,59458.98456,57973.3521,44
BTC,4/2/21,58821.62699,58726.08457,60101.75233,58478.59835,44
BTC,4/3/21,57517.79877,58958.42898,59713.21014,57185.76801,44
BTC,4/4/21,58177.40276,57134.86005,58540.98471,56552.22227,42
BTC,4/5/21,58843.55954,58230.67554,59243.03618,56846.96905,42
BTC,4/6/21,58040.1876,59133.65574,59484.19947,57421.85309,42
BTC,4/7/21,56508.94286,58030.62185,58645.77297,55541.90613,42
BTC,4/8/21,57880.90568,55996.08036,58179.65686,55758.49118,42
BTC,4/9/21,58171.90902,58094.74413,58880.82161,57717.85978,42
BTC,4/10/21,59295.95004,58149.65059,61065.22262,57924.07526,42
BTC,4/11/21,59822.90168,59765.10382,60588.47197,59229.86011,51
BTC,4/12/21,59853.19724,59998.15991,61219.71861,59428.21475,51
BTC,4/13/21,63223.88439,59841.56137,63707.34236,59799.44058,51
BTC,4/14/21,62926.55718,63562.67354,64801.78787,61400.28397,51
BTC,4/15/21,63346.78904,62987.27018,63850.25073,62094.63291,51
BTC,4/16/21,61965.7826,63225.09392,63520.32537,60033.53467,51
BTC,4/17/21,60574.44473,61444.2325,62534.0285,59802.88927,51
BTC,4/18/21,56850.83017,60191.52541,60531.98885,52148.98354,66
BTC,4/19/21,56224.10159,56335.38914,57609.36812,54449.24533,66
BTC,4/20/21,56608.76975,55723.22726,57121.9439,53442.85166,66
BTC,4/21/21,54144.42748,56508.15124,56809.14639,53913.85052,66
BTC,4/22/21,51965.05956,53830.82386,55471.07637,50500.73186,66
BTC,4/23/21,50669.14438,51714.07397,52111.18507,47467.91203,66
BTC,4/24/21,50733.7695,51217.17233,51253.44295,48932.15881,66
BTC,4/25/21,48542.9522,50177.2374,50668.65902,47105.59307,49
BTC,4/26/21,53558.70784,49139.23095,54398.59279,48854.58137,49
BTC,4/27/21,55123.86198,54059.47407,55398.07415,53351.1154,49
BTC,4/28/21,54591.51533,55086.93871,56458.63581,53915.35483,49
BTC,4/29/21,53260.29534,54893.87167,55224.90796,52403.74361,49
BTC,4/30/21,57302.64642,53598.8795,57434.93313,53097.76279,49
BTC,5/1/21,57677.97522,57741.02091,58511.25605,57062.70007,49
BTC,5/2/21,56427.04313,57824.30019,57925.74157,56123.03951,44
BTC,5/3/21,57255.30684,56639.43979,59001.35964,56508.24045,44
BTC,5/4/21,53658.84312,57218.80533,57246.89119,53613.59522,44
BTC,5/5/21,57252.70218,53270.22912,57977.61342,52987.15866,44
BTC,5/6/21,56583.84988,57459.05218,58368.68209,55330.72786,44
BTC,5/7/21,57107.12067,56439.1334,58724.11078,55320.95812,44
BTC,5/8/21,58788.20968,57419.14789,59575.46311,57028.49805,44
BTC,5/9/21,58102.19143,58966.91501,59249.14168,56494.91533,59
BTC,5/10/21,55715.54665,58308.31805,59560.02546,53774.62824,59
BTC,5/11/21,56573.55547,55899.75297,56956.07503,54571.69321,59
BTC,5/12/21,52147.82119,56767.71106,58036.50978,51625.54785,59
BTC,5/13/21,49764.13208,49596.77889,51448.79858,46294.72018,59
BTC,5/14/21,50032.69314,49717.35435,51578.31254,48944.34654,59
BTC,5/15/21,47885.62525,49926.03507,50690.80295,47005.10229,59
BTC,5/16/21,45604.61575,46805.53785,49670.41417,43868.63897,100
BTC,5/17/21,43144.47129,46439.33657,46622.85344,42102.34643,100
BTC,5/18/21,43196.04648,43559.59756,45850.23167,42469.97557,100
BTC,5/19/21,39439.23764,42920.74886,43604.56959,30201.95732,100
BTC,5/20/21,39756.08985,36795.42298,42589.86396,35670.94838,100
BTC,5/21/21,36921.76781,40685.32514,42278.00518,33594.9589,100
BTC,5/22/21,37490.94189,37359.78201,38889.85969,35304.2276,100
BTC,5/23/21,34259.54842,37521.89077,38267.29928,31179.69036,71
BTC,5/24/21,38085.78936,34737.62802,39966.87647,34485.43104,71
BTC,5/25/21,38290.44853,38888.31953,39855.11634,36498.63953,71
BTC,5/26/21,38915.00483,38381.73602,40894.43677,37857.49979,71
BTC,5/27/21,38717.76922,39307.54389,40430.21373,37233.69324,71
BTC,5/28/21,34898.00872,38562.13832,38899.1654,34741.95807,71
BTC,5/29/21,34535.52247,35698.95278,37320.48202,33701.80064,71
BTC,5/30/21,35749.65569,34658.19244,36522.21153,33488.46475,51
BTC,5/31/21,36929.47674,35678.44389,37485.69849,34221.84833,51
BTC,6/1/21,36419.7495,37271.39122,37818.47819,35715.745,51
BTC,6/2/21,37422.57146,36686.46947,38214.79246,35936.28283,51
BTC,6/3/21,38958.49278,37578.33653,39473.29743,37209.19852,51
BTC,6/4/21,37190.10135,39247.49516,39287.31295,35593.79257,51
BTC,6/5/21,34981.38069,36879.60608,37956.26443,34873.6381,51
BTC,6/6/21,35335.6792,35560.48183,36492.44706,35281.56318,54
BTC,6/7/21,34016.56534,35817.5128,36782.08794,33629.66402,54
BTC,6/8/21,33504.25661,33597.68673,34080.42046,31035.49458,54
BTC,6/9/21,37127.18972,33412.71682,37332.45144,32437.09146,54
BTC,6/10/21,36715.0471,37403.60397,38461.25074,35827.50618,54
BTC,6/11/21,37341.58943,36695.08131,37587.39855,35982.33038,54
BTC,6/12/21,35655.16445,37339.00024,37459.96028,34682.01043,54
BTC,6/13/21,38894.55627,35568.31876,39295.84866,34822.58005,40
BTC,6/14/21,40162.32007,39016.52826,41046.76952,38750.01315,40
BTC,6/15/21,40173.19505,40530.78467,41316.6025,39554.28661,40
BTC,6/16/21,38557.47921,40162.3408,40484.50425,38417.86697,40
BTC,6/17/21,37722.02018,38352.43823,39535.58388,37403.40389,40
BTC,6/18/21,35520.45103,38099.78059,38208.85625,35226.09596,40
BTC,6/19/21,35656.30474,35856.81522,36474.03327,34968.01232,40
BTC,6/20/21,35681.13396,35516.44507,36119.79974,33380.57703,53
BTC,6/21/21,31659.54173,35602.05302,35736.70811,31531.90656,53
BTC,6/22/21,32404.33036,31614.55039,33247.78903,29031.31448,53
BTC,6/23/21,33532.25785,32532.77264,34790.33261,31741.68396,53
BTC,6/24/21,34718.47493,33686.34201,35267.11131,32348.28467,53
